"Año","precio_de_venta","km_impulsado","combustible","transmission","Dueño"
2007,60000,70000,1,2,1
2007,135000,50000,1,2,1
2012,600000,100000,2,2,1
2017,250000,46000,1,2,1
2014,450000,141000,2,2,2
2007,140000,125000,1,2,1
2016,550000,25000,1,2,1
2014,240000,60000,1,2,2
2015,850000,25000,1,2,1
2017,365000,78000,3,2,1
2015,260000,35000,1,2,1
2014,250000,100000,1,2,1
2018,1650000,25000,1,1,1
2007,60000,70000,1,2,1
2007,135000,50000,1,2,1
2012,600000,100000,2,2,1
2017,250000,46000,1,2,1
2014,450000,141000,2,2,2
2007,140000,125000,1,2,1
2016,550000,25000,1,2,1
2014,240000,60000,1,2,2
2015,850000,25000,1,2,1
2017,365000,78000,3,2,1
2015,260000,35000,1,2,1
2014,250000,100000,1,2,1
2018,1650000,25000,1,1,1
2015,585000,24000,1,2,1
2019,1195000,5000,2,2,1
2013,390000,33000,2,2,2
2014,1964999,28000,2,1,1
2013,1425000,59000,2,1,1
2018,975000,4500,2,1,1
2011,1190000,175900,2,1,1
2018,930000,14500,1,2,1
2018,525000,15000,1,2,1
2013,1735000,50000,2,1,1
2012,1375000,33800,2,1,2
2011,450000,130400,2,1,2
2016,900000,50000,1,1,1
2015,1300000,80000,2,2,1
2019,1400000,10000,1,2,1
2010,850000,119000,1,1,1
2014,229999,60000,1,2,4
2013,1550000,75800,2,1,2
2009,1250000,78000,2,1,3
2012,625000,40000,2,2,1
2014,1050000,50000,2,2,1
2014,560000,74000,2,2,2
2014,290000,64000,1,2,2
2012,275000,60000,1,2,2
2009,411000,120000,2,2,2
2009,150000,79000,1,2,3
2019,500000,15000,1,2,1
2006,100000,80000,1,2,1
2017,725000,18500,2,2,1
2018,401000,10200,1,2,1
2018,750000,29000,2,2,1
2018,310000,28000,1,2,1
2016,665000,46000,2,2,1
2014,465000,70000,2,2,1
2012,160000,60000,1,2,2
1996,250000,35000,2,2,2
2014,675000,90000,2,2,1
2013,300000,80000,1,2,1
2005,70000,80000,2,2,1
2014,240000,73300,1,2,2
2014,525000,92000,2,2,1
2009,151000,66764,1,2,2
